Name,Rating
Kevin De Bruyne,7.92
Bruno Fernandes,7.82
Adama Traoré,7.61
Riyad Mahrez,7.59
Ricardo Pereira,7.5
Sadio Mané,7.5
Marcos Alonso,7.49
Mohamed Salah,7.45
Virgil van Dijk,7.4
Pablo Marí,7.37
Wilfred Ndidi,7.36
James Maddison,7.34
Marcus Rashford,7.34
Jack Grealish,7.33
Joel Matip,7.33
Richarlison,7.32
Harry Kane,7.3
Trent Alexander-Arnold,7.3
Raúl Jiménez,7.29
Son Heung-Min,7.28
Roberto Firmino,7.26
John McGinn,7.26
Jamie Vardy,7.25
Wayne Hennessey,7.25
Willian,7.25
Willy Boly,7.25
Emiliano Buendía,7.24
Sébastien Haller,7.21
Aaron Wan-Bissaka,7.21
Jordan Henderson,7.2
Sergio Agüero,7.2
Raheem Sterling,7.19
Nicolas Pépé,7.19
Gabriel Jesus,7.19
Serge Aurier,7.18
Allan Saint-Maximin,7.18
Anthony Martial,7.17
David Silva,7.15
Dejan Lovren,7.14
Troy Deeney,7.14
Shkodran Mustafi,7.13
Rodrigo,7.12
Andrew Robertson,7.12
Lucas Digne,7.12
Tammy Abraham,7.12
Harry Maguire,7.12
James Tarkowski,7.11
César Azpilicueta,7.11
Scott McTominay,7.1
Çaglar Söyüncü,7.09
Michail Antonio,7.09
Paul Pogba,7.09
João Moutinho,7.09
Dwight McNeil,7.09
James Ward-Prowse,7.09
Jonjo Shelvey,7.08
Christian Pulisic,7.08
Felipe Anderson,7.07
Eric Bailly,7.07
Nemanja Matic,7.06
Wilfried Zaha,7.06
João Cancelo,7.06
Bernardo Silva,7.05
Hugo Lloris,7.04
Aymeric Laporte,7.03
Jordan Ayew,7.01
Mason Mount,7.01
Djibril Sidibé,7.01
Philip Billing,7
Naby Keita,7
Chris Basham,7
Japhet Tanganga,7
Diego Rico,6.99
Pierre-Emerick Aubameyang,6.99
John Fleck,6.99
Mateo Kovacic,6.98
Ben Chilwell,6.97
Matt Doherty,6.97
Etienne Capoue,6.97
Dele Alli,6.96
Enda Stevens,6.96
Steven Bergwijn,6.96
Jonny Evans,6.95
Pedro,6.95
Dan Burn,6.95
Oliver Norwood,6.95
Alexandre Lacazette,6.95
Fred,6.95
Declan Rice,6.95
Danny Ings,6.94
Phil Bardsley,6.94
Jack O'Connell,6.94
Dominic Calvert-Lewin,6.94
Jorginho,6.94
James McArthur,6.93
Ondrej Duda,6.93
Reece James,6.92
Fernandinho,6.91
Kurt Zouma,6.9
Lewis Dunk,6.9
Joe Gomez,6.9
Gerard Deulofeu,6.9
Ross Barkley,6.9
Diogo Jota,6.89
N'Golo Kanté,6.89
Ciaran Clark,6.89
John Egan,6.89
Matt Targett,6.89
Lucas Moura,6.89
Frederic Guilbert,6.88
Harvey Barnes,6.88
Ben Mee,6.88
Bernd Leno,6.88
Fikayo Tomori,6.88
Charlie Taylor,6.88
Youri Tielemans,6.87
Georginio Wijnaldum,6.87
Calum Chambers,6.86
Ayoze Pérez,6.86
Adam Masina,6.86
Christian Kabasele,6.85
Jan Vertonghen,6.85
Yerry Mina,6.85
Fabian Schär,6.85
Jetro Willems,6.84
Joshua King,6.84
Federico Fernández,6.84
Jonny,6.84
Antonio Rüdiger,6.84
Martin Dubravka,6.84
Davy Pröpper,6.83
Shane Duffy,6.83
Fabinho,6.83
Ismaila Sarr,6.83
Romain Saïss,6.83
Jarrod Bowen,6.83
Adam Webster,6.83
Oliver McBurnie,6.82
Nathan Aké,6.82
James Tomkins,6.82
Scott Dann,6.82
David McGoldrick,6.82
