,Name,Rating
0,Carlos Vela,8.48
1,Zlatan Ibrahimovic,8.0
2,Eduard Atuesta,7.57
3,Kacper Przybylko,7.51
4,Nicolás Lodeiro,7.46
5,Alejandro Pozuelo,7.41
6,Josef Martínez,7.39
7,Diego Rossi,7.38
8,Mark-Anthony Kaye,7.32
9,Jan Gregus,7.31
10,Jan Gregus,7.31
11,Carles Gil,7.3
12,Kei Kamara,7.3
13,Jamiro Monteiro,7.29
14,Diego Valeri,7.29
15,Nani,7.29
16,Diego Rubio,7.28
17,Gustavo Bou,7.26
18,Sebastián Blanco,7.25
19,Jonathan dos Santos,7.24
20,Wayne Rooney,7.24
21,Rod Fanni,7.24
22,Maximiliano Moralez,7.24
23,Pedro Santos,7.24
24,Raúl Ruidíaz,7.24
25,Ryan Hollingshead,7.22
26,Ezequiel Barco,7.21
27,Cristian Espinoza,7.2
28,Julian Gressel,7.19
29,Jefferson Savarino,7.19
30,Valeri Qazaishvili,7.19
31,Latif Blessing,7.19
32,Johnny Russell,7.18
33,Jorge Moreira,7.18
34,Jimmy Maurer,7.17
35,Jordan Morris,7.16
36,Michael Barrios,7.16
37,Bojan,7.16
38,Cristian Roldan,7.16
39,Ali Adnan,7.15
40,Alexandru Mitrita,7.15
41,Aleksandar Katai,7.14
42,Jozy Altidore,7.14
43,Marc Rzatkowski,7.14
44,Romain Métanire,7.13
45,Alberth Elis,7.13
46,Héber,7.12
47,Donovan Pines,7.12
48,Felipe Gutiérrez,7.11
49,Maxime Crépeau,7.11
50,Damir Kreilach,7.1
51,Francisco Calvo,7.09
52,Gonzalo Martínez,7.09
53,Valentín Castellanos,7.09
54,Albert Rusnák,7.08
55,Magnus Eriksson,7.08
56,Darwin Quintero,7.08
57,Jasser Khmiri,7.07
58,Kyle Duncan,7.07
59,C.J. Sapong,7.07
60,Matt Turner,7.06
61,Francisco Calvo,7.06
62,Saphir Taïder,7.05
63,Frédéric Brillant,7.04
64,Miles Robinson,7.04
65,Nicolás Gaitán,7.04
66,Ike Opara,7.04
67,Adama Diomande,7.03
68,Lucas Rodríguez,7.02
69,Ronald Matarrita,7.01
70,Jack Price,7.0
71,Przemyslaw Frankowski,7.0
72,Gustav Svensson,7.0
73,Ryan Meara,6.99
74,Leandro González Pirez,6.99
75,Alexander Ring,6.99
76,Sebastian Lletget,6.99
77,Carlos,6.98
78,Daniel Royer,6.98
79,Steven Birnbaum,6.98
80,Haris Medunjanin,6.98
81,Wilfried Moimbé,6.98
82,Raheem Edwards,6.97
83,Kevin Molino,6.97
84,Bill Hamid,6.97
85,Darlington Nagbe,6.97
86,Paxton Pomykal,6.97
87,Chase Gasper,6.96
88,Francis Atuahene,6.96
89,Justin Meram,6.96
90,Diedie Traore,6.96
91,Steve Clark,6.96
92,Christian Ramirez,6.95
93,Mauricio Pereyra,6.94
94,Maxime Chanot,6.94
95,Brian Fernández,6.94
96,Ilsinho,6.93
97,Perry Kitchen,6.93
98,Michael Boxall,6.93
99,Mauro Manotas,6.92
100,Michael Murillo,6.92
101,Clément Diop,6.91
102,Kelvin Leerdam,6.91
103,Andre Shinyashiki,6.91
104,David Accam,6.91
105,Clint Irwin,6.91
106,Anton Tinnerholm,6.91
107,Bastian Schweinsteiger,6.9
108,Osvaldo Alonso,6.9
109,Sean Davis,6.9
110,Will Johnson,6.9
111,Brandon Bye,6.9
112,Walker Zimmerman,6.9
113,Gyasi Zardes,6.9
114,Florian Jungwirth,6.9
115,Joe Corona,6.89
116,Bryan Acosta,6.89
117,Chad Marshall,6.89
118,Russell Canouse,6.89
119,Florian Valot,6.89
120,Cristian Cásseres Jr,6.88
121,Jack Elliott,6.88
122,Franco Escobar,6.88
123,Aaron Long,6.87
124,Alejandro Bedoya,6.87
125,David Bingham,6.87
126,Auston Trusty,6.86
127,Omar González,6.86
128,Mohamed El-Munir,6.86
129,Aaron Herrera,6.86
130,Hwang In-Beom,6.86
131,Kenny Saief,6.86
132,Dax McCarty,6.85
133,Olivier Mbaizo,6.85
134,Tesho Akindele,6.85
135,Keegan Rosenberry,6.85
136,Uriel Antuna,6.85
137,Cristhian Paredes,6.85
138,Víctor Rodríguez,6.84
139,Bacary Sagna,6.84
140,Benny Feilhaber,6.84
141,Brian White,6.84
142,Connor Lade,6.83
143,Omar Browne,6.83
144,Yordy Reyna,6.83
145,Rolf Feltscher,6.82
146,Kaku,6.82
147,Andrew Putna,6.82
148,Zac MacMath,6.82
149,Matt Hedges,6.82
150,Aníbal Godoy,6.81
151,Federico Higuaín,6.81
152,Auro,6.81
153,Tommy Thompson,6.81
154,Diego Chara,6.81
155,Joseph Mora,6.8
156,Donny Toia,6.8
157,Júnior Moreno,6.8
158,Víctor Cabrera,6.8
159,Edgar Castillo,6.8
160,Marco Delgado,6.8
161,Graham Zusi,6.8
162,Kai Wagner,6.8
163,Tristan Blackmon,6.8
164,Memo Rodríguez,6.79
165,Maximiliano Urruti,6.79
166,Ismael Tajouri-Shradi,6.79
167,Cristian Penilla,6.79
168,Emmanuel Ledesma,6.79
169,Ignacio Piatti,6.79
170,Vito Mannone,6.79
171,Jorge Villafaña,6.78
172,Dominique Badji,6.78
173,Luis Díaz,6.77
174,Michael Bradley,6.77
175,Fabrice-Jean Picault,6.77
176,Youness Mokhtar,6.77
177,Brad Smith,6.77
178,Ola Kamara,6.77
179,Amro Tarek,6.77
180,Judson,6.77
181,João Moutinho,6.77
182,Jordan Harvey,6.77
183,Jackson Yueill,6.77
184,Jesús Ferreira,6.77
185,Alexander Callens,6.77
186,Forrest Lasso,6.76
187,Lamine Sané,6.76
188,Leonardo Jara,6.76
189,Brandon Servania,6.76
190,Favio Álvarez,6.76
191,Jeremy Ebobisse,6.76
192,Hassani Dotson,6.75
193,Allan Cruz,6.75
194,Kemar Lawrence,6.75
195,Jonathan Lewis,6.75
196,Diego Polenta,6.75
197,Daniel Steres,6.75
198,Bill Tuiloma,6.75
199,Keaton Parks,6.74
200,Santiago Mosquera,6.74
201,Cody Cropper,6.74
202,Steven Beitashour,6.74
203,Doneil Henry,6.74
204,Bressan,6.74
205,Robinho,6.74
206,Chris Wondolowski,6.74
207,Justen Glad,6.74
208,Orji Okwonkwo,6.74
209,Jonathan Bornstein,6.74
210,Brian Rodríguez,6.73
211,Guram Kashia,6.73
212,Jonathan Osorio,6.73
213,Cory Burke,6.73
214,Sebastián Saucedo,6.73
215,Nick DeLeon,6.73
216,Richie Laryea,6.73
217,Christian Ramirez,6.73
218,Juan Agudelo,6.73
219,Connor Maloney,6.73
220,Eddie Segura,6.73
221,Wil Trapp,6.72
222,James Sands,6.72
223,Graham Smith,6.72
224,Daniel Lovitz,6.72
225,Adam Lundkvist,6.72
226,Ebenezer Ofori,6.72
227,Felipe,6.72
228,Nedum Onuoha,6.72
229,Fredy Montero,6.71
230,Alex Muyl,6.71
231,Lalas Abubakar,6.71
232,Everton Luiz,6.71
233,Josh Sims,6.71
234,Brad Guzan,6.71
235,Nick Rimando,6.71
236,Stefan Frei,6.71
237,Paul Arriola,6.71
238,Lassi Lappalainen,6.7
239,Antonio Mlinar Delamea,6.7
240,Luciano Acosta,6.7
241,Rasmus Schüller,6.7
242,Tomás Martínez,6.7
243,Sean Johnson,6.69
244,Dejan Jakovic,6.69
245,Carlos Ascues,6.69
246,Ryan Telfer,6.69
247,Tsubasa Endoh,6.69
248,Zdenek Ondrasek,6.69
249,Brandon Vázquez,6.68
250,Samuel Piette,6.68
251,Óscar Boniek García,6.68
252,Harrison Afful,6.68
253,Román Torres,6.68
254,Justin Morrow,6.68
255,Liam Fraser,6.68
256,Waylon Francis,6.67
257,Matías Vera,6.67
258,Kyle Beckerman,6.67
259,Teal Bunbury,6.67
260,Daniel Vega,6.67
261,Marco Fabián,6.67
262,Marco Farfan,6.67
263,Gastón Sauro,6.67
264,Chris Mavinga,6.67
265,Tyler Miller,6.67
266,Brian Rowe,6.66
267,Zack Steffen,6.66
268,Harold Cummings,6.66
269,Zakaria Diallo,6.66
270,Djordje Mihailovic,6.66
271,Aurélien Collin,6.66
272,Cristian Higuita,6.66
273,Alvas Powell,6.66
274,Larrys Mabiala,6.66
275,Rodolfo Zelaya,6.65
276,Chris Mueller,6.65
277,Tim Melia,6.65
278,Chris Duvall,6.65
279,Joevin Jones,6.65
280,Darren Mattocks,6.65
281,Rudy Camacho,6.65
282,Luis Caicedo,6.64
283,Sam Nicholson,6.64
284,Oriol Rosell,6.64
285,Carlos Gruezo,6.64
286,Jalil Anibaba,6.64
287,Greg Ranjitsingh,6.64
288,Alejandro Fuenmayor,6.64
289,Romain Alessandrini,6.64
290,Jake Nerwinski,6.64
291,Nicolas Benezet,6.64
292,Maynor Figueroa,6.63
293,Marcos López,6.63
294,Kendall Waston,6.62
295,Érik Godoy,6.62
296,Laurent Ciman,6.62
297,Gerso,6.62
298,Reto Ziegler,6.61
299,Zachary Brault-Guillard,6.61
300,Nick Hagglund,6.61
301,Brent Kallman,6.61
302,Krisztián Németh,6.61
303,Dave Romney,6.61
304,Romell Quioto,6.61
305,Johan Kappelhof,6.61
306,Yohan Croizet,6.6
307,Michaell Chirinos,6.6
308,Adrián Zendejas,6.6
309,Dillon Powers,6.6
310,Modou Jadama,6.6
311,Nicolás Mezquida,6.6
312,Shane O'Neill,6.59
313,Luis Robles,6.59
314,Tommy Smith,6.59
315,Danny Wilson,6.59
316,Quentin Westberg,6.59
317,Jørgen Skjelvik,6.59
318,Ilie Sánchez,6.59
319,Nemanja Nikolic,6.59
320,Josh Williams,6.59
321,Jesse González,6.59
322,Frankie Amaya,6.58
323,Ben Sweat,6.58
324,Kamal Miller,6.58
325,Brandt Bronico,6.58
326,Corey Baird,6.58
327,Scott Sutter,6.58
328,Danilo Silva,6.58
329,Reggie Cannon,6.58
330,Erik Holt,6.58
331,Ruan,6.57
332,Chris Durkin,6.57
333,Sean Nealis,6.57
334,Eric Miller,6.57
335,Artur,6.57
336,Mason Toye,6.57
337,Eloy Room,6.57
338,Pablo Sisniega,6.57
339,Benji Michel,6.56
340,Matt Freese,6.56
341,Nick Lima,6.56
342,Jhegson Méndez,6.56
343,Jeff Attinella,6.56
344,Shea Salinas,6.56
345,Andrew Farrell,6.55
346,Marvin Loría,6.55
347,Ulises Segura,6.55
348,Alex De John,6.55
349,Kellyn Acosta,6.55
350,Maikel van der Werff,6.55
351,Brek Shea,6.55
352,Sam Johnson,6.55
353,Raymon Gaddis,6.54
354,Jon Erice,6.54
355,Kim Kee-hee,6.54
356,DeJuan Jones,6.54
357,Julian Araujo,6.54
358,Romario Ibarra,6.54
359,Botond Baráth,6.54
360,Aboubacar Keita,6.54
361,Marcelo Silva,6.54
362,Dom Dwyer,6.54
363,Edwin Cerrillo,6.54
364,Lee Nguyen,6.54
365,Sergio Santos,6.53
366,Michael Mancienne,6.53
367,Michael Parkhurst,6.53
368,Marquinhos Pedroso,6.53
369,Florentin Pogba,6.53
370,Mikey Ambrose,6.53
371,Spencer Richey,6.53
372,AJ Delagarza JR,6.53
373,Jonathan Mensah,6.53
374,Chris Pontius,6.53
375,Robin Lod,6.52
376,Eric Remedi,6.52
377,Greg Garza,6.52
378,Sacha Kljestan,6.52
379,Joe Willis,6.52
380,Wilfried Zahibo,6.52
381,Héctor Villalba,6.52
382,Jacob Shaffelburg,6.52
383,Benny Feilhaber,6.52
384,Marquinhos Pedroso,6.52
385,Claude Dielna,6.51
386,Harry Shipp,6.51
