,League,Team,Name,Position,Age,Height,Weight,BMI,Rating
0,EPL,Arsenal,Bernd Leno,Goalkeeper,28,75,183,22.870933333333333,6.88
2,EPL,Arsenal,Héctor Bellerín,Defender,25,70,163,23.385510204081633,6.63
3,EPL,Arsenal,Calum Chambers,Defender,25,72,146,19.798996913580247,6.86
4,EPL,Arsenal,Rob Holding,Defender,24,72,165,22.375578703703702,6.25
5,EPL,Arsenal,Pablo Marí,Defender,26,75,192,23.995733333333334,7.37
6,EPL,Arsenal,Sokratis Sokratis,Defender,31,73,187,24.668981047100768,6.82
7,EPL,Arsenal,Dani Ceballos,Midfielder,23,70,157,22.52469387755102,6.79
8,EPL,Arsenal,Ainsley Maitland-Niles,Midfielder,22,70,157,22.52469387755102,6.79
9,EPL,Arsenal,Reiss Nelson,Midfielder,20,69,157,23.18231463978156,6.37
10,EPL,Arsenal,Lucas Torreira,Midfielder,24,66,141,22.755509641873278,6.61
11,EPL,Arsenal,Granit Xhaka,Midfielder,27,72,181,24.545331790123456,6.79
12,EPL,Arsenal,Pierre-Emerick Aubameyang,Forward,30,74,163,20.925675675675677,6.99
13,EPL,Arsenal,Eddie Nketiah,Forward,21,69,154,22.73934047469019,6.57
14,EPL,Arsenal,Bukayo Saka,Forward,18,70,143,20.51612244897959,6.66
16,EPL,Arsenal,Cédric Soares,Defender,28,68,148,22.500865051903116,6.76
17,EPL,Arsenal,David Luiz,Defender,33,74,185,23.75,6.68
18,EPL,Arsenal,Sead Kolasinac,Defender,26,72,187,25.358989197530864,6.49
19,EPL,Arsenal,Shkodran Mustafi,Defender,28,72,181,24.545331790123456,7.13
20,EPL,Arsenal,Kieran Tierney,Defender,22,70,154,22.094285714285714,6.45
22,EPL,Arsenal,Gabriel Martinelli,Midfielder,18,71,165,23.01031541360841,6.4
23,EPL,Arsenal,Mesut Özil,Midfielder,31,71,154,21.476294386034517,6.71
24,EPL,Arsenal,Joe Willock,Midfielder,20,70,157,22.52469387755102,6.29
25,EPL,Arsenal,Alexandre Lacazette,Forward,29,69,161,23.77294685990338,6.95
26,EPL,Arsenal,Nicolas Pépé,Forward,25,72,161,21.833140432098766,7.19
27,EPL,Aston Villa,Tom Heaton,Goalkeeper,34,74,187,24.006756756756758,6.57
28,EPL,Aston Villa,Pepe Reina,Goalkeeper,37,74,203,26.06081081081081,6.6
29,EPL,Aston Villa,Björn Engels,Defender,25,76,183,22.273026315789473,6.61
30,EPL,Aston Villa,Kortney Hause,Defender,24,74,185,23.75,6.74
31,EPL,Aston Villa,Tyrone Mings,Defender,27,75,170,21.246222222222222,6.63
32,EPL,Aston Villa,Neil Taylor,Defender,31,69,141,20.819785759294266,6.33
33,EPL,Aston Villa,Douglas Luiz,Midfielder,22,70,143,20.51612244897959,6.56
35,EPL,Aston Villa,Conor Hourihane,Midfielder,29,71,137,19.10553461614759,6.55
36,EPL,Aston Villa,Henri Lansbury,Midfielder,29,72,187,25.358989197530864,6.02
37,EPL,Aston Villa,Marvelous Nakamba,Midfielder,26,70,157,22.52469387755102,6.6
38,EPL,Aston Villa,Borja Bastón,Forward,27,75,181,22.620977777777778,5.71
39,EPL,Aston Villa,Anwar El Ghazi,Forward,25,74,168,21.56756756756757,6.66
40,EPL,Aston Villa,Wesley,Forward,23,75,205,25.620444444444445,6.76
42,EPL,Aston Villa,Jed Steer,Goalkeeper,27,74,196,25.16216216216216,6.32
44,EPL,Aston Villa,Ezri Konsa,Defender,22,72,170,23.053626543209877,6.39
45,EPL,Aston Villa,Matt Targett,Defender,24,72,154,20.883873456790123,6.89
47,EPL,Aston Villa,Jack Grealish,Midfielder,24,69,150,22.14870825456837,7.33
48,EPL,Aston Villa,Jota,Midfielder,28,71,148,20.639555643721483,6.29
49,EPL,Aston Villa,John McGinn,Midfielder,25,69,150,22.14870825456837,7.26
51,EPL,Aston Villa,Keinan Davis,Forward,22,66,150,24.207988980716255,6.18
52,EPL,Aston Villa,Mbwana Samatta,Forward,27,71,154,21.476294386034517,6.74
55,EPL,BHA,Bernardo,Defender,25,73,168,22.162507036967536,6.64
56,EPL,BHA,Shane Duffy,Defender,28,76,168,20.44736842105263,6.83
57,EPL,BHA,Ezequiel Schelotto,Defender,31,74,174,22.33783783783784,6.23
58,EPL,BHA,Steven Alzate,Midfielder,21,70,143,20.51612244897959,6.69
61,EPL,BHA,Solly March,Midfielder,25,71,194,27.054552668121403,6.72
62,EPL,BHA,Davy Pröpper,Midfielder,28,73,159,20.97522987427285,6.83
63,EPL,BHA,Aaron Connolly,Forward,20,69,161,23.77294685990338,6.35
64,EPL,BHA,Alireza Jahanbakhsh,Forward,26,71,170,23.70759769886927,6.57
65,EPL,BHA,Glenn Murray,Forward,36,72,176,23.867283950617285,6.26
67,EPL,BHA,Dan Burn,Defender,28,78,192,22.185404339250493,6.95
68,EPL,BHA,Lewis Dunk,Defender,28,76,194,23.611842105263158,6.9
69,EPL,BHA,Martín Montoya,Defender,29,69,161,23.77294685990338,6.62
70,EPL,BHA,Adam Webster,Defender,25,75,165,20.621333333333332,6.83
71,EPL,BHA,Yves Bissouma,Midfielder,23,72,176,23.867283950617285,6.63
72,EPL,BHA,Pascal Groß,Midfielder,28,71,172,23.986510612973618,6.76
73,EPL,BHA,Alexis Mac Allister,Midfielder,21,69,154,22.73934047469019,6.01
74,EPL,BHA,Aaron Mooy,Midfielder,29,68,159,24.173226643598618,6.77
75,EPL,BHA,Dale Stephens,Midfielder,30,67,157,24.58699042102918,6.69
77,EPL,BHA,Neal Maupay,Forward,23,67,152,23.80396524838494,6.67
78,EPL,BHA,Leandro Trossard,Forward,25,68,170,25.845588235294116,6.58
80,EPL,Bournemouth,Mark Travers,Goalkeeper,21,75,181,22.620977777777778,4.95
81,EPL,Bournemouth,Nathan Aké,Defender,25,71,165,23.01031541360841,6.82
82,EPL,Bournemouth,Charlie Daniels,Defender,33,70,165,23.672448979591838,6.21
84,EPL,Bournemouth,Diego Rico,Defender,27,71,165,23.01031541360841,6.99
85,EPL,Bournemouth,Adam Smith,Defender,29,71,172,23.986510612973618,6.61
86,EPL,Bournemouth,Philip Billing,Midfielder,23,76,176,21.42105263157895,7.0
87,EPL,Bournemouth,Lewis Cook,Midfielder,23,69,157,23.18231463978156,6.32
